iter	Passed	Remaining
0	7	7791
1	8	4379
2	9	3264
3	10	2715
4	11	2303
5	12	2018
6	12	1816
7	13	1670
8	14	1556
9	14	1475
10	15	1407
11	16	1344
12	16	1287
13	17	1240
14	18	1198
15	18	1163
16	19	1129
17	20	1103
18	20	1077
19	21	1054
20	22	1032
21	22	1014
22	23	1012
23	24	1008
24	25	1003
25	26	989
26	27	975
27	27	960
28	28	946
29	28	936
30	29	925
31	30	914
32	30	904
33	31	894
34	32	884
35	32	879
36	33	870
37	34	862
38	34	855
39	35	847
40	35	840
41	36	835
42	37	832
43	38	829
44	39	830
45	40	833
46	40	831
47	41	824
48	42	818
49	42	812
50	43	806
51	44	802
52	44	797
53	45	793
54	45	789
55	46	784
56	47	780
57	47	776
58	48	772
59	49	768
60	49	764
61	50	761
62	50	758
63	51	756
64	52	754
65	53	756
66	54	756
67	55	758
68	56	757
69	56	754
70	57	750
71	58	747
72	58	744
73	59	741
74	59	738
75	60	735
76	61	732
77	61	729
78	62	726
79	62	723
80	63	721
81	64	719
82	64	713
83	65	711
84	65	708
85	66	706
86	67	705
87	68	706
88	69	710
89	70	711
90	71	710
91	71	708
92	72	706
93	73	704
94	73	701
95	74	698
96	74	696
97	75	693
98	75	691
99	76	690
100	77	687
101	77	685
102	78	683
103	79	681
104	79	679
105	80	678
106	81	676
107	81	674
108	82	673
109	83	678
110	85	682
111	85	680
112	86	678
113	86	676
114	87	674
115	88	671
116	88	669
117	89	667
118	89	665
119	90	663
120	91	661
121	91	659
122	92	657
123	92	656
124	93	654
125	94	652
126	94	650
127	95	648
128	95	647
129	96	646
130	97	646
131	98	647
132	99	648
133	100	648
134	100	646
135	101	644
136	102	642
137	102	641
138	103	639
139	103	638
140	104	636
141	104	633
142	105	632
143	106	630
144	106	629
145	107	628
146	108	626
147	108	625
148	109	623
149	109	622
150	110	621
151	111	620
152	111	618
153	112	617
154	113	618
155	114	619
156	115	618
157	115	617
158	116	615
159	117	614
160	117	611
161	118	610
162	118	609
163	119	607
164	119	606
165	120	605
166	121	603
167	121	602
168	122	601
169	122	600
170	123	598
171	124	597
172	124	596
173	125	595
174	125	593
175	126	592
176	127	591
177	128	592
178	129	592
179	130	592
180	130	591
181	131	590
182	131	588
183	132	587
184	133	586
185	133	585
186	134	583
187	134	583
188	135	582
189	136	581
190	136	580
191	137	579
192	138	578
193	138	577
194	139	576
195	140	575
196	140	574
197	141	573
198	142	571
199	142	571
200	144	572
201	144	572
202	145	571
203	146	570
204	146	569
205	147	567
206	147	566
207	148	565
208	149	564
209	149	563
210	150	562
211	151	561
212	151	560
213	152	559
214	152	558
215	153	557
